Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,degree_centrality,bottleneck_score,bottleneck_rank
RONSE,44,18.575,0.84,9,0.0,0.0,0.0,0.0,0.0,RONSE,1000,300,250,1000,37.15,0.01652089407191448,-3.573836383343764,592.0
ROUX,197,170.975,1.74,40,8.0,1.0,4.06,1.02,437.0,ROUX,134,32,16,134,45.82,0.07968901846452867,-1.0980323434788493,375.0
RUISBROEK,430,674.7,3.14,96,44.0,6.0,10.23,3.02,439.0,RUISBROEK,729,247,200,729,983.71,0.18075801749271136,3.186708538076562,47.0
RUISBROEK-SAUVEGARDE,107,130.415,2.44,24,6.0,0.0,5.61,0.93,0.0,RUISBROEK-SAUVEGARDE,1000,300,250,1000,260.83,0.03304178814382896,-1.5538990818321872,434.0
SAINT-DENIS-BOVESSE,287,455.56,3.17,59,26.0,6.0,9.06,3.83,0.0,SAINT-DENIS-BOVESSE,1000,300,250,1000,911.12,0.18075801749271136,1.903972585506197,69.0
SAINT-GHISLAIN,232,292.16,2.52,47,18.0,4.0,7.76,3.88,0.0,SAINT-GHISLAIN,1000,300,250,1000,584.32,0.10301263362487852,0.39922432595965796,182.0
SART-BERNARD,177,162.635,1.84,37,8.0,2.0,4.52,2.82,440.0,SART-BERNARD,122,44,27,122,39.68,0.05928085519922255,-1.2551773019128472,395.0
SCHAARBEEK,1471,2719.333255587949,3.06,310,185.0,25.0,12.58,2.86,0.0,SCHAARBEEK,25000,7500,6250,25000,112685.0,0.7541302235179786,19.025110542403503,6.0
SCHAARBEEK-JOSAPHAT,405,399.74,1.97,84,23.0,2.0,5.68,0.74,0.0,SCHAARBEEK-JOSAPHAT,1000,300,250,1000,799.48,0.17589893100097181,1.424062856760206,93.0
SCHAARBEEK-PERRON P.C.I.,6,16.8,5.6,5,2.0,0.0,33.33,0.0,0.0,SCHAARBEEK-PERRON P.C.I.,1000,300,250,1000,33.6,0.025267249757045675,4.740850763681882,30.0
SCHELDEWINDEKE,106,91.86,1.73,22,4.0,2.0,3.77,2.83,442.0,SCHELDEWINDEKE,366,70,74,366,67.24,0.019436345966958212,-2.2064597589169597,485.0
SCHELLE,115,129.26,2.25,24,6.0,2.0,5.22,2.61,443.0,SCHELLE,262,51,33,262,67.73,0.05442176870748299,-1.4430788215825119,426.0
SCHELLEBELLE,266,180.125,1.35,54,10.0,1.0,3.76,0.75,444.0,SCHELLEBELLE,560,102,84,560,201.74,0.1477162293488824,-0.2813257092892333,258.0
SCHENDELBEKE,144,203.285,2.82,29,11.0,2.0,7.64,2.78,445.0,SCHENDELBEKE,238,58,46,238,96.76,0.042759961127308066,-0.6809648893058325,308.0
SCHOONAARDE,129,85.415,1.32,26,4.0,0.0,3.1,0.78,446.0,SCHOONAARDE,257,126,136,257,43.9,0.06608357628765792,-1.8928747634403797,452.0
SCHULEN,275,234.685,1.71,56,16.0,1.0,5.82,0.73,447.0,SCHULEN,242,106,186,242,113.59,0.09912536443148688,-0.04406984049083297,236.0
SCHULEN-SAS,272,232.05,1.71,56,17.0,1.0,6.25,0.74,0.0,SCHULEN-SAS,1000,300,250,1000,464.1,0.09523809523809523,0.021868805606814104,225.0
SCLAIGNEAUX,192,225.35,2.35,39,13.0,1.0,6.77,1.04,448.0,SCLAIGNEAUX,93,10,12,93,41.92,0.09037900874635568,-0.2543886822874383,255.0
SCLESSIN,198,190.05,1.92,40,10.0,0.0,5.05,0.51,0.0,SCLESSIN,1000,300,250,1000,380.1,0.10398445092322643,-0.599085763254076,298.0
SERAING,120,46.61,0.78,24,0.0,0.0,0.0,0.0,450.0,SERAING,294,89,77,294,27.41,0.024295432458697766,-3.1327410785488614,557.0
SERSKAMP,142,153.225,2.16,29,7.0,2.0,4.93,2.11,451.0,SERSKAMP,205,53,52,205,62.82,0.08843537414965986,-1.071734244890749,366.0
SILLY,145,309.61,4.27,30,17.0,5.0,11.72,6.9,452.0,SILLY,1119,199,188,1119,692.91,0.05344995140913508,0.6346700008361411,155.0
SIMONIS,60,101.11,3.37,12,8.0,0.0,13.33,1.67,453.0,SIMONIS,99,40,40,99,20.02,0.029154518950437316,0.10305928081396182,216.0
SINAAI,310,247.56,1.6,62,11.0,0.0,3.55,0.32,454.0,SINAAI,433,69,72,433,214.39,0.13313896987366375,-0.1539202898083109,245.0
SINT-AGATHA-BERCHEM,140,62.575,0.89,28,2.0,0.0,1.43,0.0,0.0,SINT-AGATHA-BERCHEM,1000,300,250,1000,125.15,0.04664723032069971,-2.467553302943238,507.0
